Id;Name; Latitude ; Longitude ;Height (m);Active;PrecipStation;PrecipLink
167710;Arjeplog A;66.05;17.84;430.839;Ja;5-167710-Arjeplog_A.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/167710/period/corrected-archive/data.csv
158980;Arjeplog-Myrheden D;65.98;18.22;450.325;Ja;5-158980-Arjeplog-Myrheden_D.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/158980/period/corrected-archive/data.csv
97390;Arlanda;59.66;17.92;26;Nej;5-97390-Arlanda.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/97390/period/corrected-archive/data.csv
53770;Arlöv sockerbruk;55.63;13.07;3;Nej;5-53770-Arlöv_sockerbruk.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/53770/period/corrected-archive/data.csv
159880;Arvidsjaur A;65.59;19.26;382.45;Ja;5-159880-Arvidsjaur_A.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/159880/period/corrected-archive/data.csv
92400;Arvika;59.67;12.59;77;Nej;5-92400-Arvika.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/92400/period/corrected-archive/data.csv
92410;Arvika A;59.67;12.64;65.758;Ja;5-92410-Arvika_A.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/92410/period/corrected-archive/data.csv
92430;Arvika sanatorium;59.67;12.62;70;Nej;5-92430-Arvika_sanatorium.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/92430/period/corrected-archive/data.csv
75280;Arvingetorp;57.45;15.03;210;Nej;5-75280-Arvingetorp.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/75280/period/corrected-archive/data.csv
97630;Aske;59.62;17.65;15;Nej;5-97630-Aske.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/97630/period/corrected-archive/data.csv
95100;Asker D;59.16;15.46;37.648;Ja;5-95100-Asker_D.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/95100/period/corrected-archive/data.csv
84660;Askersund;58.88;14.9;100;Nej;5-84660-Askersund.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/84660/period/corrected-archive/data.csv
75480;Askeryd;57.81;14.99;250;Nej;5-75480-Askeryd.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/75480/period/corrected-archive/data.csv
72620;Askim D;57.63;11.96;88.33;Ja;5-72620-Askim_D.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/72620/period/corrected-archive/data.csv
52530;Asmundtorp;55.88;12.95;15;Nej;5-52530-Asmundtorp.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/52530/period/corrected-archive/data.csv
87600;Aspa D;58.93;17.1;26.636;Ja;5-87600-Aspa_D.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/87600/period/corrected-archive/data.csv
84670;Aspa bruk;58.77;14.8;95;Nej;5-84670-Aspa_bruk.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/84670/period/corrected-archive/data.csv
137220;Aspeå;63.4;17.49;255.8;Ja;5-137220-Aspeå.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/137220/period/corrected-archive/data.csv
94370;Asphyttan;59.61;14.19;130;Nej;5-94370-Asphyttan.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/94370/period/corrected-archive/data.csv
78480;Austers D;57.81;18.63;29.205;Ja;5-78480-Austers_D.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/78480/period/corrected-archive/data.csv
145500;Avasjö-Borgafjäll D;64.83;15.07;535.286;Ja;5-145500-Avasjö-Borgafjäll_D.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/145500/period/corrected-archive/data.csv
106070;Avesta;60.14;16.17;99.043;Ja;5-106070-Avesta.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/106070/period/corrected-archive/data.csv
73270;Axelfors;57.45;13.1;150;Nej;5-73270-Axelfors.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/73270/period/corrected-archive/data.csv
84340;Axstål Mo;58.57;14.56;88.5;Ja;5-84340-Axstål_Mo.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/84340/period/corrected-archive/data.csv
105550;Backa;60.92;15.11;230;Nej;5-105550-Backa.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/105550/period/corrected-archive/data.csv
117710;Backarna;61.57;16.3;185;Nej;5-117710-Backarna.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/117710/period/corrected-archive/data.csv
136490;Backe D;63.81;16.4;214.569;Ja;5-136490-Backe_D.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/136490/period/corrected-archive/data.csv
127580;Badstuguhöjden;62.9;17.27;380;Nej;5-127580-Badstuguhöjden.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/127580/period/corrected-archive/data.csv
63550;Bakarebo D;56.9;13.7;145;Ja;5-63550-Bakarebo_D.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/63550/period/corrected-archive/data.csv
132420;Baksjönäset;63.71;12.65;425;Nej;5-132420-Baksjönäset.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/132420/period/corrected-archive/data.csv
166840;Ballastviken;66.49;16.53;470;Nej;5-166840-Ballastviken.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/166840/period/corrected-archive/data.csv
139570;Balsjö D;63.92;19.07;200;Ja;5-139570-Balsjö_D.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/139570/period/corrected-archive/data.csv
62220;Baramossa;56.38;12.99;196.703;Ja;5-62220-Baramossa.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/62220/period/corrected-archive/data.csv
97260;Barkarby;59.42;17.88;17;Nej;5-97260-Barkarby.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/97260/period/corrected-archive/data.csv
62180;Barkåkra;56.29;12.85;20;Nej;5-62180-Barkåkra.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/62180/period/corrected-archive/data.csv
52610;Barsebäck;55.77;12.95;10;Nej;5-52610-Barsebäck.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/52610/period/corrected-archive/data.csv
156230;Bastansjö D;65.38;16.2;499.583;Ja;5-156230-Bastansjö_D.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/156230/period/corrected-archive/data.csv
82540;Bastorp;58.9;12.04;150;Nej;5-82540-Bastorp.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/82540/period/corrected-archive/data.csv
98410;Beateberg;59.66;18.42;40;Nej;5-98410-Beateberg.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/98410/period/corrected-archive/data.csv
53190;Beddingestrand;55.36;13.43;5.04;Nej;5-53190-Beddingestrand.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/53190/period/corrected-archive/data.csv
92040;Bengtsfors;59.03;12.24;120;Ja;5-92040-Bengtsfors.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/92040/period/corrected-archive/data.csv
125470;Bensjö;62.71;15.47;310;Nej;5-125470-Bensjö.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/125470/period/corrected-archive/data.csv
74080;Berg;57.12;14.69;250;Ja;5-74080-Berg.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/74080/period/corrected-archive/data.csv
98610;Berga;59.08;18.12;15;Nej;5-98610-Berga.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/98610/period/corrected-archive/data.csv
98040;Berga Mo;59.07;18.12;4.3;Ja;5-98040-Berga_Mo.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/98040/period/corrected-archive/data.csv
97130;Bergaholm;59.23;17.72;30;Nej;5-97130-Bergaholm.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/97130/period/corrected-archive/data.csv
189740;Bergfors;68.15;19.8;480;Nej;5-189740-Bergfors.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/189740/period/corrected-archive/data.csv
158900;Bergnäsudden;65.67;18.15;420;Nej;5-158900-Bergnäsudden.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/158900/period/corrected-archive/data.csv
82370;Bergs säteri;58.72;12.48;55;Nej;5-82370-Bergs_säteri.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/82370/period/corrected-archive/data.csv
117570;Bergsjö;61.95;17.07;55;Ja;5-117570-Bergsjö.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/117570/period/corrected-archive/data.csv
158600;Bergvattnet;65.02;18.25;320;Nej;5-158600-Bergvattnet.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/158600/period/corrected-archive/data.csv
116160;Bergvik;61.26;16.84;50;Nej;5-116160-Bergvik.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/116160/period/corrected-archive/data.csv
95600;Bernshammar;59.67;15.76;60;Nej;5-95600-Bernshammar.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/95600/period/corrected-archive/data.csv
86160;Bersbo;58.26;16.04;100;Nej;5-86160-Bersbo.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/86160/period/corrected-archive/data.csv
96610;Bie;59.08;16.21;21;Nej;5-96610-Bie.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/96610/period/corrected-archive/data.csv
155950;Biellojaure;65.8;15.72;600;Nej;5-155950-Biellojaure.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/155950/period/corrected-archive/data.csv
82590;Billingsfors;58.99;12.26;85;Nej;5-82590-Billingsfors.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/82590/period/corrected-archive/data.csv
62240;Bingsgärde;56.4;12.97;202;Nej;5-62240-Bingsgärde.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/62240/period/corrected-archive/data.csv
136020;Bispgården;63.02;16.63;168.062;Ja;5-136020-Bispgården.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/136020/period/corrected-archive/data.csv
106080;Bjurfors;60.13;16.13;125;Nej;5-106080-Bjurfors.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/106080/period/corrected-archive/data.csv
139560;Bjurholm;63.93;19.22;178;Nej;5-139560-Bjurholm.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/139560/period/corrected-archive/data.csv
105470;Bjursås;60.74;15.46;227.889;Ja;5-105470-Bjursås.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/105470/period/corrected-archive/data.csv
105460;Bjursås-Sågsbo;60.77;15.38;400;Nej;5-105460-Bjursås-Sågsbo.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/105460/period/corrected-archive/data.csv
138710;Bjurvattnet;63.88;18.95;225;Nej;5-138710-Bjurvattnet.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/138710/period/corrected-archive/data.csv
116650;Bjuråker;61.85;16.58;66;Nej;5-116650-Bjuråker.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/116650/period/corrected-archive/data.csv
151290;Bjuröklubb;64.48;21.58;36;Nej;5-151290-Bjuröklubb.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/151290/period/corrected-archive/data.csv
151280;Bjuröklubb A;64.48;21.58;35.41;Ja;5-151280-Bjuröklubb_A.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/151280/period/corrected-archive/data.csv
62050;Bjuv D;56.1;12.89;15;Nej;5-62050-Bjuv_D.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/62050/period/corrected-archive/data.csv
62730;Bjärbolund;56.18;12.77;7;Nej;5-62730-Bjärbolund.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/62730/period/corrected-archive/data.csv
66440;Bjärby D;56.71;16.71;7;Nej;5-66440-Bjärby_D.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/66440/period/corrected-archive/data.csv
85160;Bjärka-Säby;58.27;15.74;100;Nej;5-85160-Bjärka-Säby.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/85160/period/corrected-archive/data.csv
63180;Bjärnum D;56.29;13.74;79.897;Ja;5-63180-Bjärnum_D.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/63180/period/corrected-archive/data.csv
53650;Björka;55.7;13.63;32;Nej;5-53650-Björka.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/53650/period/corrected-archive/data.csv
155920;Björkbacken;65.75;15.55;515;Nej;5-155920-Björkbacken.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/155920/period/corrected-archive/data.csv
142030;Björkede;64.04;12.94;451;Nej;5-142030-Björkede.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/142030/period/corrected-archive/data.csv
163980;Björkfors;65.93;23.47;10;Nej;5-163980-Björkfors.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/163980/period/corrected-archive/data.csv
163680;Björkfors;65.92;23.47;10;Nej;5-163680-Björkfors.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/163680/period/corrected-archive/data.csv
188680;Björkliden;68.38;18.68;360;Nej;5-188680-Björkliden.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/188680/period/corrected-archive/data.csv
107040;Björklinge D;60.04;17.56;29.693;Ja;5-107040-Björklinge_D.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/107040/period/corrected-archive/data.csv
95270;Björklund;59.42;15.3;48;Nej;5-95270-Björklund.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/95270/period/corrected-archive/data.csv
98580;Björksättra;59.93;18.48;20;Nej;5-98580-Björksättra.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/98580/period/corrected-archive/data.csv
178820;Björkudden;67.4;18.72;376;Ja;5-178820-Björkudden.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/178820/period/corrected-archive/data.csv
155850;Björkvik;65.5;15.56;435;Nej;5-155850-Björkvik.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/155850/period/corrected-archive/data.csv
86500;Björkvik D;58.84;16.52;30.967;Ja;5-86500-Björkvik_D.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/86500/period/corrected-archive/data.csv
82390;Björkåsen;58.65;12.63;60;Nej;5-82390-Björkåsen.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/82390/period/corrected-archive/data.csv
107620;Björn;60.63;17.98;4;Nej;5-107620-Björn.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/107620/period/corrected-archive/data.csv
83640;Björnegården;58.52;13.07;75;Nej;5-83640-Björnegården.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/83640/period/corrected-archive/data.csv
122020;Björnliden;62.04;12.4;750;Nej;5-122020-Björnliden.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/122020/period/corrected-archive/data.csv
53380;Björnstorp;55.63;13.41;45;Nej;5-53380-Björnstorp.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/53380/period/corrected-archive/data.csv
126020;Björsarv;62.03;16.3;150;Nej;5-126020-Björsarv.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/126020/period/corrected-archive/data.csv
156780;Blaiken D;65.25;16.86;399.629;Ja;5-156780-Blaiken_D.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/156780/period/corrected-archive/data.csv
