Id;Name; Latitude ; Longitude ;Height_m;Active; TempMean ; TempMinStation ; TempMaxStation ; TempMeanLink ; TempMinLink ; TempMaxLink ;;
91660;Högsäter; 59.88 ; 11.97 ;135;Nej; 2-91660-Högsäter.csv ; 19-91660-Högsäter.csv ; 20-Högsäter-59.88.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/91660/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/91660/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/91660/period/corrected-archive/data.csv;;
191720;Nedre Soppero V; 68.04 ; 21.76 ;355;Nej; 2-191720-Nedre_Soppero_V.csv ; 19-191720-Nedre_Soppero_V.csv ; 20-Nedre Soppero V-68.044.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/191720/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/191720/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/191720/period/corrected-archive/data.csv;;
113230;Trängslet; 61.38 ; 13.72 ;419;Ja; 2-113230-Trängslet.csv ; 19-113230-Trängslet.csv ; 20-Trängslet-61.3795.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/113230/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/113230/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/113230/period/corrected-archive/data.csv;;
83660;Kvänum; 58.32 ; 13.15 ;75;Nej; 2-83660-Kvänum.csv ; 19-83660-Kvänum.csv ; 20-Kvänum-58.3165.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/83660/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/83660/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/83660/period/corrected-archive/data.csv;;
140500;Umeå; 63.83 ; 20.29 ;10;Nej; 2-140500-Umeå.csv ; 19-140500-Umeå.csv ; 20-Umeå-63.8302.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/140500/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/140500/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/140500/period/corrected-archive/data.csv;;
63590;Torup A; 56.95 ; 13.06 ;132.532;Ja; 2-63590-Torup_A.csv ; 19-63590-Torup_A.csv ; 20-Torup A-56.9494.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/63590/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/63590/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/63590/period/corrected-archive/data.csv;;
83240;Skara-Ekeberg; 58.40 ; 13.55 ;130;Nej; 2-83240-Skara-Ekeberg.csv ; 19-83240-Skara-Ekeberg.csv ; 20-Skara-Ekeberg-58.4.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/83240/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/83240/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/83240/period/corrected-archive/data.csv;;
148330;Lycksele A; 64.55 ; 18.71 ;210.07;Ja; 2-148330-Lycksele_A.csv ; 19-148330-Lycksele_A.csv ; 20-Lycksele A-64.5481.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/148330/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/148330/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/148330/period/corrected-archive/data.csv;;
85040;Malexander; 58.07 ; 15.24 ;195;Nej; 2-85040-Malexander.csv ; 19-85040-Malexander.csv ; 20-Malexander-58.0729.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/85040/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/85040/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/85040/period/corrected-archive/data.csv;;
160600;Dalliden; 65.02 ; 20.31 ;330;Nej; 2-160600-Dalliden.csv ; 19-160600-Dalliden.csv ; 20-Dalliden-65.0157.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/160600/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/160600/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/160600/period/corrected-archive/data.csv;;
145280;Korsselbränna; 64.46 ; 15.54 ;178;Nej; 2-145280-Korsselbränna.csv ; 19-145280-Korsselbränna.csv ; 20-Korsselbränna-64.4571.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/145280/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/145280/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/145280/period/corrected-archive/data.csv;;
91620;Lennartsfors; 59.30 ; 11.93 ;125;Nej; 2-91620-Lennartsfors.csv ; 19-91620-Lennartsfors.csv ; 20-Lennartsfors-59.3.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/91620/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/91620/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/91620/period/corrected-archive/data.csv;;
149710;Hällnäs Skogsskola; 64.33 ; 19.50 ;175;Nej; 2-149710-Hällnäs_Skogsskola.csv ; 19-149710-Hällnäs_Skogsskola.csv ; 20-Hällnäs Skogsskola-64.3333.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/149710/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/149710/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/149710/period/corrected-archive/data.csv;;
