InputID,TargetID,Distance
01_Bjdamm,188790,1026448.66786592
01_Bjdamm,158990,768648.354766319
01_Bjdamm,75040,240013.823103104
01_Bjdamm,99090,179532.34681616
01_Bjdamm,178790,912713.599465015
01_Bjdamm,167710,766500.213764665
01_Bjdamm,97390,121247.335154429
01_Bjdamm,159880,729007.880074612
01_Bjdamm,92400,199180.989163349
01_Bjdamm,92410,196436.121607897
01_Bjdamm,94370,110892.002162444
01_Bjdamm,84340,110118.577751973
01_Bjdamm,105550,195122.036784386
01_Bjdamm,97260,109720.870832936
01_Bjdamm,62180,375797.539618474
01_Bjdamm,82540,229512.794300114
01_Bjdamm,98040,123047.630873572
01_Bjdamm,116650,294272.387298537
01_Bjdamm,151290,654844.552253861
01_Bjdamm,151280,654844.552253861
01_Bjdamm,53650,417284.888287898
01_Bjdamm,142030,560295.078027371
01_Bjdamm,107040,127988.827102564
01_Bjdamm,83640,185883.923229463
01_Bjdamm,92170,224905.01998459
01_Bjdamm,92130,223306.826824763
01_Bjdamm,161940,788755.151097696
01_Bjdamm,83170,164080.042860137
01_Bjdamm,105260,136945.567198379
01_Bjdamm,72450,240948.787643932
01_Bjdamm,127130,347080.175472904
01_Bjdamm,157870,712563.655553989
01_Bjdamm,84620,129571.39004227
01_Bjdamm,94390,113607.993646144
01_Bjdamm,73430,236950.513506007
01_Bjdamm,107120,152780.592781598
01_Bjdamm,116480,287450.228224699
01_Bjdamm,116490,291823.646020217
01_Bjdamm,105640,145258.901251094
01_Bjdamm,96120,52641.1145409971
01_Bjdamm,132590,555032.576369719
01_Bjdamm,115230,240263.115817253
01_Bjdamm,115220,238396.109689866
01_Bjdamm,107440,189440.200487532
01_Bjdamm,74380,182971.919605514
01_Bjdamm,97370,79664.7492280295
01_Bjdamm,96190,31340.2803928299
01_Bjdamm,181970,997520.553979481
01_Bjdamm,52230,468784.849378723
01_Bjdamm,52240,468784.849378723
01_Bjdamm,105370,156810.727214502
01_Bjdamm,162800,764603.396201588
01_Bjdamm,95320,40928.7784793222
01_Bjdamm,107140,155936.116680558
01_Bjdamm,107130,156323.832128694
01_Bjdamm,125020,314960.077620397
01_Bjdamm,118610,254068.354202666
01_Bjdamm,85410,58192.668566268
01_Bjdamm,122360,426045.883254323
01_Bjdamm,96040,29304.1484972352
01_Bjdamm,112510,356633.547463666
01_Bjdamm,106100,106813.608375668
01_Bjdamm,148050,556050.690540794
01_Bjdamm,126300,367357.080779242
01_Bjdamm,134110,450212.226608007
01_Bjdamm,151550,689705.078540706
01_Bjdamm,84390,124829.222944638
01_Bjdamm,160740,703511.618656532
01_Bjdamm,160750,701091.985373448
01_Bjdamm,79580,236170.911804148
01_Bjdamm,79520,233136.19655761
01_Bjdamm,134460,512135.883700699
01_Bjdamm,62550,333423.017433512
01_Bjdamm,89240,207444.231367479
01_Bjdamm,89230,206927.957346213
01_Bjdamm,108300,214913.711575289
01_Bjdamm,84610,159750.323567369
01_Bjdamm,145130,557144.530105076
01_Bjdamm,147570,650885.271042219
01_Bjdamm,147560,650814.249383939
01_Bjdamm,87360,110746.045193849
01_Bjdamm,103090,160774.829178791
01_Bjdamm,103100,160774.829178791
01_Bjdamm,144300,595658.755481427
01_Bjdamm,144310,595160.098214857
01_Bjdamm,180760,912155.590620051
01_Bjdamm,180740,914342.756316947
01_Bjdamm,107400,171904.016348707
01_Bjdamm,84520,99586.9644153101
01_Bjdamm,71420,287334.807278546
01_Bjdamm,74180,241337.601961418
01_Bjdamm,135460,507710.035242385
