InputID,TargetID,Distance
01_Bjdamm,154860,704399.458326085
01_Bjdamm,188790,1026587.32005867
01_Bjdamm,158990,768009.166917291
01_Bjdamm,97280,88430.555046005
01_Bjdamm,117330,271445.24935443
01_Bjdamm,75040,240306.683644541
01_Bjdamm,99090,179540.74003272
01_Bjdamm,178790,912443.848558012
01_Bjdamm,82000,261315.709435521
01_Bjdamm,73250,256275.200744674
01_Bjdamm,167710,766419.24649254
01_Bjdamm,97390,120836.720520034
01_Bjdamm,159880,729365.384431947
01_Bjdamm,92410,196730.148530616
01_Bjdamm,84660,73430.6784890613
01_Bjdamm,94370,111113.454075515
01_Bjdamm,97260,109809.700894197
01_Bjdamm,116650,294192.450468112
01_Bjdamm,151290,654933.664000997
01_Bjdamm,151280,654787.907165225
01_Bjdamm,53650,417060.732026542
01_Bjdamm,142030,560406.033555288
01_Bjdamm,83640,186161.960562647
01_Bjdamm,92170,224595.602153475
01_Bjdamm,92130,223495.153479699
01_Bjdamm,132110,486350.505163418
01_Bjdamm,83170,164183.728553204
01_Bjdamm,105310,145299.085864075
01_Bjdamm,105280,144206.729065487
01_Bjdamm,105260,136851.685386928
01_Bjdamm,72450,240946.6729147
01_Bjdamm,138270,484644.292900442
01_Bjdamm,145450,615652.855913598
01_Bjdamm,78240,251522.741616649
01_Bjdamm,84620,129476.826823214
01_Bjdamm,136610,435449.661243854
01_Bjdamm,123460,409946.513230398
01_Bjdamm,94390,113603.863031223
01_Bjdamm,107120,153140.111093508
01_Bjdamm,116480,286845.942541375
01_Bjdamm,116490,291316.801517108
01_Bjdamm,156770,669741.576858647
01_Bjdamm,156790,679442.909677936
01_Bjdamm,105640,145203.888910529
01_Bjdamm,123060,344987.165146823
01_Bjdamm,96120,52532.9586359458
01_Bjdamm,132590,554941.545847873
01_Bjdamm,115230,240005.833716385
01_Bjdamm,115220,238369.477403288
01_Bjdamm,107440,189068.152651136
01_Bjdamm,65360,289710.6529276
01_Bjdamm,97370,79640.7705694923
01_Bjdamm,82380,215405.973352051
01_Bjdamm,96230,32100.5612673229
01_Bjdamm,96190,31581.6303686751
01_Bjdamm,181970,997951.575506263
01_Bjdamm,86090,121191.098709136
01_Bjdamm,52230,468326.259611576
01_Bjdamm,52240,468328.714663744
01_Bjdamm,105370,156935.990616743
01_Bjdamm,162800,764776.493421588
01_Bjdamm,95320,41464.9471971948
01_Bjdamm,107140,155730.732768201
01_Bjdamm,107130,155835.525418667
01_Bjdamm,125020,315129.239857216
01_Bjdamm,118610,253828.799396656
01_Bjdamm,85410,58112.8873940191
