InputID,TargetID,Distance
01_Bjdamm,173010,931439.326768345
01_Bjdamm,157010,697842.093256933
01_Bjdamm,154860,704672.331422943
01_Bjdamm,62570,315921.053634436
01_Bjdamm,188800,1026448.66786592
01_Bjdamm,188790,1026448.66786592
01_Bjdamm,158990,768648.354766319
01_Bjdamm,158820,695593.95660398
01_Bjdamm,76510,150985.956288421
01_Bjdamm,85600,114162.988680009
01_Bjdamm,97280,88418.2697193076
01_Bjdamm,92480,222342.261047089
01_Bjdamm,117330,271579.195072651
01_Bjdamm,178740,890888.00687814
01_Bjdamm,72560,249412.262332978
01_Bjdamm,180790,918849.55934762
01_Bjdamm,75040,240013.823103104
01_Bjdamm,134590,536701.59246469
01_Bjdamm,98560,139908.223900285
01_Bjdamm,53640,434720.499037382
01_Bjdamm,53390,433451.051553824
01_Bjdamm,53750,434419.066485997
01_Bjdamm,93720,138949.566379376
01_Bjdamm,178790,912713.599465015
01_Bjdamm,82000,260968.746209988
01_Bjdamm,73250,256187.169600897
01_Bjdamm,156990,750750.005003014
01_Bjdamm,103220,174498.151851861
01_Bjdamm,74730,248896.889406894
01_Bjdamm,74600,249095.020737746
01_Bjdamm,74510,169120.669128441
01_Bjdamm,76410,172468.338695236
01_Bjdamm,144530,636873.370106572
01_Bjdamm,95230,19565.8600006052
01_Bjdamm,116600,252176.205059764
01_Bjdamm,167710,766500.213764665
01_Bjdamm,158980,761420.670418009
01_Bjdamm,97390,119689.329493886
01_Bjdamm,53770,437018.845315865
01_Bjdamm,159880,729007.880074612
01_Bjdamm,92400,199180.989163349
01_Bjdamm,92410,196436.121607897
01_Bjdamm,92430,197533.764828028
01_Bjdamm,75280,205545.575193191
01_Bjdamm,97630,103952.399748445
01_Bjdamm,95100,31201.1827807295
01_Bjdamm,84660,73459.1897564116
01_Bjdamm,75480,168045.14743657
01_Bjdamm,72620,294922.99250647
01_Bjdamm,52530,414526.395334479
01_Bjdamm,87600,71574.5617424029
01_Bjdamm,84670,85171.8683149729
01_Bjdamm,137220,472096.910687151
01_Bjdamm,94370,110892.002162444
01_Bjdamm,78480,220170.061514794
01_Bjdamm,145500,626506.842741082
01_Bjdamm,106070,102447.962348518
01_Bjdamm,73270,260260.156083263
01_Bjdamm,84340,110118.577751973
01_Bjdamm,105550,195122.036784386
01_Bjdamm,117710,261844.767489987
01_Bjdamm,136490,511414.547030318
01_Bjdamm,127580,415280.111453468
01_Bjdamm,63550,292091.41849508
01_Bjdamm,132420,530418.169315338
01_Bjdamm,166840,810216.948150347
01_Bjdamm,139570,548035.021004149
01_Bjdamm,62220,363551.731616276
01_Bjdamm,97260,109720.870832936
01_Bjdamm,62180,376480.062047299
01_Bjdamm,52610,425677.633221515
01_Bjdamm,156230,686072.296783825
01_Bjdamm,82540,229512.794300114
