InputID,TargetID,Distance
01_Bjdamm,149560,659651.283239028
01_Bjdamm,173960,920765.528790633
01_Bjdamm,163920,811066.09025151
01_Bjdamm,140480,557547.682330569
01_Bjdamm,63220,340722.915113694
01_Bjdamm,85220,104631.281574763
01_Bjdamm,85250,92051.0591493148
01_Bjdamm,136640,477896.731506913
01_Bjdamm,171810,847665.810041859
01_Bjdamm,113110,273072.907634565
01_Bjdamm,154860,704672.331422943
01_Bjdamm,78030,277474.092584569
01_Bjdamm,72630,289636.316491047
01_Bjdamm,91660,238779.76911188
01_Bjdamm,191720,1022324.30824159
01_Bjdamm,113230,270930.219591286
01_Bjdamm,83660,192787.692302268
01_Bjdamm,140500,561554.357233384
01_Bjdamm,63590,306681.475970321
01_Bjdamm,83240,168333.78052715
01_Bjdamm,148330,610291.881536213
01_Bjdamm,85040,135828.837706339
01_Bjdamm,160600,683664.524725819
01_Bjdamm,145280,583895.206108757
01_Bjdamm,91620,231747.560508811
01_Bjdamm,149710,598084.428633836
01_Bjdamm,95490,69602.742498817
01_Bjdamm,75380,179339.999755919
01_Bjdamm,65510,267398.881485355
01_Bjdamm,64330,306721.442494014
01_Bjdamm,125470,389362.391137833
01_Bjdamm,85280,84089.2140708835
01_Bjdamm,92400,199180.989163349
01_Bjdamm,81640,289919.24618714
01_Bjdamm,65730,339538.433413408
01_Bjdamm,62140,389793.974968237
01_Bjdamm,84340,110118.577751973
01_Bjdamm,105230,135594.146130185
01_Bjdamm,107270,155072.305140267
01_Bjdamm,82540,229512.794300114
01_Bjdamm,74240,213253.730435146
01_Bjdamm,84260,111071.93101095
01_Bjdamm,66120,337766.909159146
01_Bjdamm,97280,88418.2697193076
01_Bjdamm,96310,32877.1998435116
01_Bjdamm,136410,499075.217292536
01_Bjdamm,88580,143751.212994351
01_Bjdamm,108640,184177.142266007
01_Bjdamm,54300,432149.912070922
01_Bjdamm,71420,287334.807278546
01_Bjdamm,78040,273523.575530241
01_Bjdamm,140490,558474.462662736
01_Bjdamm,75520,148884.038694387
01_Bjdamm,171710,818565.695282578
01_Bjdamm,64030,372164.128414531
01_Bjdamm,108300,214913.711575289
01_Bjdamm,63600,305416.297156272
01_Bjdamm,75630,208147.577940632
01_Bjdamm,105360,162734.51083939
01_Bjdamm,97120,93615.9381805365
01_Bjdamm,103600,230141.549155474
01_Bjdamm,169980,883186.525836758
01_Bjdamm,170920,865913.871453539
01_Bjdamm,99280,201138.139304324
01_Bjdamm,63450,317472.847756979
01_Bjdamm,71380,311956.611271165
01_Bjdamm,74460,198837.64485846
01_Bjdamm,106060,101042.810248931
01_Bjdamm,126290,364159.222645389
01_Bjdamm,96030,23478.9012551174
01_Bjdamm,133630,475707.494255916
01_Bjdamm,106570,194852.266419678
01_Bjdamm,107120,152780.592781598
01_Bjdamm,105450,175348.456062771
01_Bjdamm,115230,240263.115817253
01_Bjdamm,75120,225536.918841367
01_Bjdamm,135440,502713.781164616
01_Bjdamm,117440,284375.220240252
01_Bjdamm,189760,1018944.67684036
01_Bjdamm,98490,163842.203935443
01_Bjdamm,134090,447044.390486524
01_Bjdamm,149570,663324.134109349
01_Bjdamm,53710,402784.407729392
01_Bjdamm,157600,711300.923064272
01_Bjdamm,98180,136054.215806843
01_Bjdamm,104120,140779.347315647
01_Bjdamm,92410,196436.121607897
01_Bjdamm,107440,189181.15253778
01_Bjdamm,147420,617909.638182094
01_Bjdamm,145130,557144.530105076
01_Bjdamm,66470,274519.257198624
01_Bjdamm,98590,180521.105404456
01_Bjdamm,63670,306040.753671718
01_Bjdamm,76430,170545.086817595
01_Bjdamm,159600,750899.307943426
01_Bjdamm,86370,68895.0244071527
01_Bjdamm,85020,144554.194852711
01_Bjdamm,96120,49802.0147834184
01_Bjdamm,106170,127948.527728413
01_Bjdamm,179960,972873.329487894
01_Bjdamm,79580,236170.911804148
01_Bjdamm,54290,428032.487564073
01_Bjdamm,125020,314960.077620397
01_Bjdamm,136320,456595.279820553
01_Bjdamm,52350,443200.212803317
01_Bjdamm,97210,61641.2082326469
01_Bjdamm,104300,154383.957415283
01_Bjdamm,87440,120789.800475839
01_Bjdamm,126480,402323.995526057
01_Bjdamm,75140,223345.263322696
01_Bjdamm,128590,435774.519562796
01_Bjdamm,96370,54509.3519626679
01_Bjdamm,96350,54240.5325459807
01_Bjdamm,52510,416646.41755401
01_Bjdamm,116240,243449.146309335
01_Bjdamm,82090,250119.673982978
01_Bjdamm,92030,189385.503839188
01_Bjdamm,82010,227439.399373739
01_Bjdamm,85010,140450.258629153
01_Bjdamm,65360,293676.875115779
01_Bjdamm,65130,335784.796534541
01_Bjdamm,94140,87988.3269814756
01_Bjdamm,124030,326432.558048267
01_Bjdamm,95530,83198.0115982882
01_Bjdamm,85180,113068.306557362
01_Bjdamm,192840,1073771.14650753
01_Bjdamm,72090,302299.376509877
01_Bjdamm,85050,136016.296373663
01_Bjdamm,73570,222125.267558778
01_Bjdamm,86420,62344.8206342203
01_Bjdamm,73560,190281.626331292
01_Bjdamm,62400,337628.776903882
01_Bjdamm,103290,179456.767414269
01_Bjdamm,81630,293356.877870803
01_Bjdamm,81220,291582.196056434
01_Bjdamm,86440,59278.030761666
01_Bjdamm,135380,492118.021707979
01_Bjdamm,89230,206927.957346213
01_Bjdamm,75100,233699.953642863
01_Bjdamm,65090,343288.091112297
01_Bjdamm,116500,290365.7191462
01_Bjdamm,106080,101140.133552568
01_Bjdamm,87140,123585.764624112
01_Bjdamm,136020,427258.460468508
01_Bjdamm,104580,210355.973960493
01_Bjdamm,97700,102368.503952379
01_Bjdamm,128370,394551.809499671
01_Bjdamm,83050,197179.348730205
01_Bjdamm,106340,138310.58448688
01_Bjdamm,127230,364574.849818638
01_Bjdamm,94660,102298.590329588
01_Bjdamm,136420,499075.217292536
01_Bjdamm,86010,134308.919310742
01_Bjdamm,97560,91459.1534572388
01_Bjdamm,75240,203479.458909983
01_Bjdamm,98630,134852.782247756
01_Bjdamm,108110,163811.11965013
01_Bjdamm,156770,669263.232941217
01_Bjdamm,107400,171904.016348707
01_Bjdamm,167730,771946.711151021
01_Bjdamm,132590,555032.576369719
01_Bjdamm,137110,448533.63551932
01_Bjdamm,97490,114313.569259501
01_Bjdamm,98510,169873.815528603
01_Bjdamm,53200,460730.95432012
01_Bjdamm,74300,211984.545620628
01_Bjdamm,138240,492951.067848897
01_Bjdamm,158850,716834.646102732
01_Bjdamm,53530,399631.103928443
01_Bjdamm,53180,440827.904850431
01_Bjdamm,97400,119996.175253129
01_Bjdamm,167990,860390.576109697
01_Bjdamm,95320,40928.7784793222
01_Bjdamm,103090,160774.829178791
01_Bjdamm,133030,439879.097075239
01_Bjdamm,89560,185780.983374383
01_Bjdamm,113070,268330.192643051
01_Bjdamm,128510,418510.753390718
01_Bjdamm,53250,452536.986879802
01_Bjdamm,142030,560295.078027371
01_Bjdamm,139200,485844.205971515
01_Bjdamm,74390,192189.864123617
01_Bjdamm,94390,113607.993646144
01_Bjdamm,74470,193410.260548555
01_Bjdamm,77170,224571.896325357
01_Bjdamm,146050,542326.712901114
01_Bjdamm,63340,343822.02067582
01_Bjdamm,106680,151268.38833835
01_Bjdamm,76000,250612.145844047
01_Bjdamm,75160,217767.540512675
01_Bjdamm,63470,312173.63776274
01_Bjdamm,54390,414551.175215737
01_Bjdamm,86650,64815.8949986181
01_Bjdamm,85240,95831.5422865011
01_Bjdamm,155960,732141.244003292
01_Bjdamm,157930,731485.270479892
01_Bjdamm,78390,221783.373388394
